"","tissue_cluster","an1","Antioxidant_fusion","Response_fusion","Generation_fusion","anti_all","resp_all","gener_all","tissue","system","system1","color"
"327","Hypothalamus_6",-0.157517350891308,3.76916951047386e-08,2.58380893386465e-07,1.06039210343307e-07,-0.359269178530975,-0.0858878095582677,-0.0877867125764984,"Hypothalamus","Nervous system",6,"#FFCC33"
"328","Hypothalamus_7",-0.192950512382056,7.32636502035817e-08,7.2381058702461e-07,1.35090416505618e-07,-0.261819482633158,0.0428112932364895,-0.113530526060062,"Hypothalamus","Nervous system",6,"#FFCC33"
"329","Hypothalamus_8",0.013382424525139,2.62351070030908e-07,6.68204795553289e-07,1.85594311504758e-07,-0.0616042373229524,0.0291719553299973,-0.0265955775940737,"Hypothalamus","Nervous system",6,"#FFCC33"
"330","Hypothalamus_9",-0.195534635726486,8.28563629177423e-08,2.3629820622079e-07,9.93409673342193e-08,-0.272698777458402,-0.13885012957444,-0.127506153990438,"Hypothalamus","Nervous system",6,"#FFCC33"
"331","Ileum_0",-0.0810508045508369,2.09258107992356e-07,3.84937261619761e-07,3.73779998970112e-07,-0.0980197960237958,-0.0156996496578217,-0.0128386908773915,"Ileum","Digestion system",2,"#87CEEB"
"332","Ileum_1",-0.0794464396016801,2.31367359382061e-07,3.55689164487132e-07,3.81080392451647e-07,-0.072020437062576,-0.0359589373174834,-0.0122071486789145,"Ileum","Digestion system",2,"#87CEEB"
"333","Ileum_10",-0.0850892971179186,2.84387741373962e-07,5.71399571032882e-07,2.48590619689551e-07,-0.010678419398986,0.0152383470512611,-0.0133499354303187,"Ileum","Digestion system",2,"#87CEEB"
"334","Ileum_11",0.134451545201203,6.2050873210448e-07,6.27212494481436e-07,2.80562651763508e-07,0.0966197895845396,0.165792868306579,-0.0191847136075198,"Ileum","Digestion system",2,"#87CEEB"
"335","Ileum_12",-0.133119023358234,2.03708374964574e-07,5.18895728920774e-07,2.53407677806156e-07,-0.092497167763447,-0.00288181424652777,-0.013388962646842,"Ileum","Digestion system",2,"#87CEEB"
"336","Ileum_13",-0.0373305677958494,6.83055733205227e-07,1.49689605843197e-06,3.25621103645214e-07,0.107809435062441,0.176538782415642,-0.0154695922773215,"Ileum","Digestion system",2,"#87CEEB"
"337","Ileum_14",0.0430015996898126,4.12382738435127e-07,4.34393486834067e-07,3.88791360322305e-07,0.0725571084048193,0.0750388025059001,-0.0307015137589563,"Ileum","Digestion system",2,"#87CEEB"
"338","Ileum_15",-0.214018173413041,9.96441686153986e-08,4.37991948958678e-07,3.31791003929408e-07,-0.239636413629977,-0.00129630986998208,0.0198298382981547,"Ileum","Digestion system",2,"#87CEEB"
"339","Ileum_16",-0.101194378217152,3.40499170285883e-07,6.81695342319218e-07,7.65018319120287e-07,-0.0507321884522195,0.0510581011022471,0.0764927489059258,"Ileum","Digestion system",2,"#87CEEB"
"340","Ileum_17",-0.112836747882794,3.55680039513974e-07,1.06941387715371e-06,2.58839788249022e-06,-0.0213011629945395,0.116427240627399,0.23820345479181,"Ileum","Digestion system",2,"#87CEEB"
"341","Ileum_18",0.14773710188029,5.29977304971212e-07,4.27211201776195e-07,8.20260731192217e-07,0.0617928673065633,-0.0411546108908963,0.142771634474468,"Ileum","Digestion system",2,"#87CEEB"
"342","Ileum_19",0.0240656142491653,4.73830363492209e-07,3.92067420538347e-07,5.36451027220212e-07,0.104155914819391,-0.0150700446962534,0.0514271963722829,"Ileum","Digestion system",2,"#87CEEB"
"343","Ileum_2",-0.165567767535152,1.97856886032091e-07,7.49086783776338e-07,5.53281763118591e-07,-0.0841802964906257,0.0551038884376152,-0.00813870439403894,"Ileum","Digestion system",2,"#87CEEB"
"344","Ileum_20",0.0104777770314709,3.62246262111857e-07,4.26177439596221e-07,2.76736826915602e-07,-0.0518732271286873,-0.0209618394430304,-0.0382166545164668,"Ileum","Digestion system",2,"#87CEEB"
"345","Ileum_21",0.232436786666305,7.62280276322049e-07,1.32463598495183e-06,5.08457338081711e-07,0.176921170640455,0.275061758906691,0.08783382268376,"Ileum","Digestion system",2,"#87CEEB"
"346","Ileum_22",-0.037537296721887,3.53556672837912e-07,3.82907597492322e-07,3.39184640343258e-07,-0.0229457195738048,-0.0563116111925738,-0.0313456706701378,"Ileum","Digestion system",2,"#87CEEB"
"347","Ileum_23",-0.0484200058762686,2.59103339997314e-07,6.70726567832705e-07,2.96508424609978e-07,-0.0941456823755014,0.129859919773637,0.0186862815404875,"Ileum","Digestion system",2,"#87CEEB"
"348","Ileum_24",0.273251329930864,1.16090417209952e-06,1.29953415355101e-06,3.32452289824191e-07,0.260372473959734,0.184946613551973,-0.014017836700879,"Ileum","Digestion system",2,"#87CEEB"
"349","Ileum_25",0.093628855859642,9.83390758883126e-07,3.67060962379131e-07,3.24363242467853e-07,0.271933677115466,-0.0333570959667898,0.0175763556493835,"Ileum","Digestion system",2,"#87CEEB"
"350","Ileum_26",0.0456255593781924,3.61749622701574e-07,5.77248667156732e-07,3.2036628014031e-06,-0.0772499184504614,-0.0337107044983309,0.329495141069277,"Ileum","Digestion system",2,"#87CEEB"
"351","Ileum_27",0.0894219280840307,3.01273160322484e-07,4.62719548233091e-07,2.93764565050379e-07,-0.0195007969533465,0.0654360369307538,-0.00893303660636108,"Ileum","Digestion system",2,"#87CEEB"
"352","Ileum_28",0.269162112363501,1.34784186602203e-06,8.06157582077584e-07,2.79217767973669e-06,0.328771102580276,0.101173200304373,0.367971219580374,"Ileum","Digestion system",2,"#87CEEB"
"353","Ileum_3",0.0363725328113575,6.23496588150697e-07,8.50181913675678e-07,2.07392011564371e-06,-0.0144220447787666,0.0723660370425206,0.277518637703958,"Ileum","Digestion system",2,"#87CEEB"
"354","Ileum_4",-0.184074676228622,1.87046750199122e-07,6.96099109832744e-07,1.99371713657111e-06,-0.168945722435657,0.0364272430541574,0.196180904976361,"Ileum","Digestion system",2,"#87CEEB"
"355","Ileum_5",0.145563589082795,8.89993111418062e-07,6.28911268461361e-07,4.68981859142859e-07,0.216003557511976,0.124272756738238,-0.0078367162885387,"Ileum","Digestion system",2,"#87CEEB"
"356","Ileum_6",0.0231133755851562,3.18129196943676e-07,8.24696119315608e-07,2.1650919032171e-07,-0.000694758945145532,0.0779207884104099,-0.0750225267234996,"Ileum","Digestion system",2,"#87CEEB"
"357","Ileum_7",0.108862947530171,5.313563840194e-07,3.67443674790623e-07,4.90591430827666e-07,0.0883336973424946,-0.0367785910097192,-0.0205447707330568,"Ileum","Digestion system",2,"#87CEEB"
"358","Ileum_8",0.0915558566131187,4.11021234415594e-07,4.70958548747245e-07,2.20618388406852e-07,0.0318314458670279,0.0530002481097039,-0.0595348547396153,"Ileum","Digestion system",2,"#87CEEB"
"359","Ileum_9",-0.0497940548071118,3.38749941962605e-07,4.41054230267774e-07,1.01056681240662e-06,0.00534022647019015,0.0131068691845006,0.0651592438174416,"Ileum","Digestion system",2,"#87CEEB"
"360","IVD_0",0.286955837831885,1.19490622532956e-06,6.59712460792659e-07,3.92640395703345e-07,0.235461243875665,0.00702808682732865,0.0187478861965551,"IVD","Motor system",5,"#DC143C"
"361","IVD_1",0.118895745738224,5.42423660780049e-07,4.23882385232043e-07,3.04197425795012e-07,0.0180011855108762,-0.0629634565068743,-0.0238673604282507,"IVD","Motor system",5,"#DC143C"
"362","IVD_10",0.263430098930402,1.08386446200684e-06,5.2537121752004e-07,5.66516543748887e-07,0.257066772989934,-0.0422796340767549,0.0681103381543361,"IVD","Motor system",5,"#DC143C"
"363","IVD_11",-0.135299985207212,1.6732391356483e-07,6.9915386231188e-07,1.93440868213942e-07,-0.152805177272645,-0.0042954082596321,-0.0606185881885964,"IVD","Motor system",5,"#DC143C"
