"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"liver","GO:0046486","glycerolipid metabolic process","12/167","108/4524",0.000549998912646043,0.0106424789597009,0.00960327048791184,"C3/APOA2/APOC3/APOC2/PLCB1/INSIG1/PEMT/CHPT1/GPLD1/G6PC1/LDLR/SCARB1",12
"liver","GO:0044242","cellular lipid catabolic process","8/167","53/4524",0.000624985052432971,0.0118920274038695,0.0107308040017236,"APOA2/APOC3/APOC2/CROT/SCP2/GPLD1/LDLR/SCARB1",8
"liver","GO:0006094","gluconeogenesis","5/167","20/4524",0.000637621624367678,0.0118920274038695,0.0107308040017236,"SLC39A14/MST1/PCK1/G6PC1/PC",5
"liver","GO:0019319","hexose biosynthetic process","5/167","20/4524",0.000637621624367678,0.0118920274038695,0.0107308040017236,"SLC39A14/MST1/PCK1/G6PC1/PC",5
"liver","GO:0050878","regulation of body fluid levels","11/167","95/4524",0.000659504358925151,0.0121537231859063,0.0109669459184671,"F2/KNG1/PLG/SERPINC1/CPB2/SERPING1/PROC/SERPINF2/PROS1/F11/F9",11
"liver","GO:0010866","regulation of triglyceride biosynthetic process","4/167","12/4524",0.000702947447659357,0.0126530540578684,0.01141751851951,"C3/GPLD1/LDLR/SCARB1",4
"liver","GO:0033344","cholesterol efflux","4/167","12/4524",0.000702947447659357,0.0126530540578684,0.01141751851951,"APOA2/APOC3/APOE/EEPD1",4
"liver","GO:0098542","defense response to other organism","20/167","249/4524",0.000727699637753543,0.0129480349338217,0.0116836953333206,"FGB/C3/FGA/CFH/C4BPA/APOA2/C9/HP/CFB/C1S/C4A/C6/LBP/C5/RARRES2/C2/ARG1/FBXO9/NR1H4/C4BPB",20
"liver","GO:1903510","mucopolysaccharide metabolic process","5/167","21/4524",0.000812153499131913,0.0142865183710932,0.012891479585503,"ITIH4/ITIH1/GLCE/ITIH3/UGDH",5
"liver","GO:0044255","cellular lipid metabolic process","21/167","272/4524",0.000897695746529467,0.0156138541081755,0.0140892046794158,"C3/TTR/APOA2/APOC3/APOC2/CROT/PLCB1/ELOVL5/ALDH1A1/SCP2/INSIG1/FADS2/RARRES2/PEMT/CHPT1/GPLD1/FDFT1/G6PC1/PLPP3/LDLR/SCARB1",21
"liver","GO:0061041","regulation of wound healing","6/167","32/4524",0.000942605816608925,0.0162128200456735,0.0146296832589479,"F2/PLG/SERPINC1/SERPING1/SERPINF2/PROS1",6
"liver","GO:0030195","negative regulation of blood coagulation","4/167","13/4524",0.00098633015144324,0.0162429688769589,0.0146568881407075,"PLG/SERPING1/SERPINF2/PROS1",4
"liver","GO:0046461","neutral lipid catabolic process","4/167","13/4524",0.00098633015144324,0.0162429688769589,0.0146568881407075,"APOA2/APOC3/APOC2/GPLD1",4
"liver","GO:0046464","acylglycerol catabolic process","4/167","13/4524",0.00098633015144324,0.0162429688769589,0.0146568881407075,"APOA2/APOC3/APOC2/GPLD1",4
"liver","GO:0090208","positive regulation of triglyceride metabolic process","4/167","13/4524",0.00098633015144324,0.0162429688769589,0.0146568881407075,"APOC2/GPLD1/LDLR/SCARB1",4
"liver","GO:1901616","organic hydroxy compound catabolic process","5/167","22/4524",0.001019995333143,0.0166205555337406,0.0149976045105901,"GK5/HSD17B6/ALDH2/GK/SCARB1",5
"liver","GO:0009611","response to wounding","11/167","103/4524",0.00130459388589714,0.0207864877217353,0.018756745006625,"F2/KNG1/PLG/SERPINC1/CPB2/SERPING1/PROC/SERPINF2/PROS1/F11/F9",11
"liver","GO:1901361","organic cyclic compound catabolic process","11/167","103/4524",0.00130459388589714,0.0207864877217353,0.018756745006625,"TDO2/PAH/TAT/XDH/HSD17B6/HPD/NT5E/PARN/FAH/DPYD/SCARB1",11
"liver","GO:1903034","regulation of response to wounding","6/167","34/4524",0.00131594043716412,0.0207864877217353,0.018756745006625,"F2/PLG/SERPINC1/SERPING1/SERPINF2/PROS1",6
"liver","GO:1900047","negative regulation of hemostasis","4/167","14/4524",0.00134141602926812,0.0209748688212834,0.0189267312157236,"PLG/SERPING1/SERPINF2/PROS1",4
"liver","GO:0044419","biological process involved in interspecies interaction between organisms","24/167","343/4524",0.00154211032926113,0.0237665046947669,0.021445771610197,"FGB/C3/FGA/CFH/C4BPA/APOA2/C9/HP/CFB/CCL3/C1S/C4A/C6/LBP/C5/APCS/RARRES2/C2/ARG1/FBXO9/NR1H4/C4BPB/PC/SCARB1",24
"liver","GO:0046889","positive regulation of lipid biosynthetic process","5/167","24/4524",0.00155065696005908,0.0237665046947669,0.021445771610197,"APOC2/ELOVL5/GPLD1/LDLR/SCARB1",5
"liver","GO:0019432","triglyceride biosynthetic process","4/167","15/4524",0.00177700998920899,0.0261982044123383,0.0236400226133366,"C3/GPLD1/LDLR/SCARB1",4
"liver","GO:0046164","alcohol catabolic process","4/167","15/4524",0.00177700998920899,0.0261982044123383,0.0236400226133366,"GK5/ALDH2/GK/SCARB1",4
"liver","GO:0061045","negative regulation of wound healing","4/167","15/4524",0.00177700998920899,0.0261982044123383,0.0236400226133366,"PLG/SERPING1/SERPINF2/PROS1",4
"liver","GO:1903035","negative regulation of response to wounding","4/167","15/4524",0.00177700998920899,0.0261982044123383,0.0236400226133366,"PLG/SERPING1/SERPINF2/PROS1",4
"liver","GO:0030203","glycosaminoglycan metabolic process","5/167","25/4524",0.00188123997242466,0.0272494274161356,0.0245885966144512,"ITIH4/ITIH1/GLCE/ITIH3/UGDH",5
"liver","GO:0051707","response to other organism","22/167","308/4524",0.0018835198536993,0.0272494274161356,0.0245885966144512,"FGB/C3/FGA/CFH/C4BPA/APOA2/C9/HP/CFB/CCL3/C1S/C4A/C6/LBP/C5/RARRES2/C2/ARG1/FBXO9/NR1H4/C4BPB/SCARB1",22
"liver","GO:0043207","response to external biotic stimulus","22/167","309/4524",0.00196335660224064,0.0281414446321159,0.0253935108301495,"FGB/C3/FGA/CFH/C4BPA/APOA2/C9/HP/CFB/CCL3/C1S/C4A/C6/LBP/C5/RARRES2/C2/ARG1/FBXO9/NR1H4/C4BPB/SCARB1",22
"liver","GO:0010951","negative regulation of endopeptidase activity","8/167","63/4524",0.00199575647667189,0.0283434039072301,0.0255757493437334,"C3/FABP1/ITIH4/ITIH1/ITIH2/ITIH3/SERPINA3-3/SERPINA3-7",8
"liver","GO:0015850","organic hydroxy compound transport","6/167","37/4524",0.00207558815653006,0.0292091860573503,0.0263569902747884,"APOA2/LIPC/SCP2/MTTP/LDLR/SCARB1",6
"liver","GO:1901607","alpha-amino acid biosynthetic process","5/167","26/4524",0.00226062018512523,0.0315264869060708,0.028448013140457,"BHMT/PAH/SHMT1/OTC/ASS1",5
"liver","GO:0042304","regulation of fatty acid biosynthetic process","4/167","16/4524",0.00230181907933514,0.0318144279893821,0.0287078375777982,"APOC3/APOC2/ELOVL5/INSIG1",4
"liver","GO:0010466","negative regulation of peptidase activity","8/167","66/4524",0.00269456776865398,0.0369131938573129,0.0333087231392998,"C3/FABP1/ITIH4/ITIH1/ITIH2/ITIH3/SERPINA3-3/SERPINA3-7",8
"liver","GO:0006066","alcohol metabolic process","10/167","97/4524",0.00281032571062736,0.0379799648258169,0.0342713268896091,"TTR/GK5/LIPC/ALDH1A1/TM7SF2/ALDH2/GK/PLPP3/LDLR/SCARB1",10
"liver","GO:0009607","response to biotic stimulus","22/167","318/4524",0.00282150901483782,0.0379799648258169,0.0342713268896091,"FGB/C3/FGA/CFH/C4BPA/APOA2/C9/HP/CFB/CCL3/C1S/C4A/C6/LBP/C5/RARRES2/C2/ARG1/FBXO9/NR1H4/C4BPB/SCARB1",22
"liver","GO:0002683","negative regulation of immune system process","8/167","67/4524",0.00296574642442425,0.0395773746983512,0.0357127541307711,"APOA2/FGL1/CCL3/SERPING1/APCS/ARG1/LDLR/TMBIM6",8
"liver","GO:0008610","lipid biosynthetic process","15/167","185/4524",0.003124047691901,0.0410283544291445,0.037022049726285,"C3/APOA2/APOC3/APOC2/ELOVL5/INSIG1/FADS2/PEMT/TM7SF2/CHPT1/PCK1/GPLD1/FDFT1/LDLR/SCARB1",15
"liver","GO:0045834","positive regulation of lipid metabolic process","6/167","40/4524",0.00312748438154978,0.0410283544291445,0.037022049726285,"APOA2/APOC2/ELOVL5/GPLD1/LDLR/SCARB1",6
"liver","GO:0032868","response to insulin","6/167","41/4524",0.00355378239352739,0.0462290348334488,0.0417148981531256,"SLC39A14/IGF1/IGF2/RARRES2/PCK1/GPLD1",6
"liver","GO:0002698","negative regulation of immune effector process","4/167","18/4524",0.00365301277552563,0.0467344113761461,0.0421709260819705,"APOA2/SERPING1/ARG1/TMBIM6",4
"liver","GO:0042398","cellular modified amino acid biosynthetic process","4/167","18/4524",0.00365301277552563,0.0467344113761461,0.0421709260819705,"GATM/FPGS/ALDH9A1/GAMT",4
"liver","GO:0062012","regulation of small molecule metabolic process","8/167","70/4524",0.0039085482769238,0.0495937109235905,0.0447510229808272,"APOC3/APOC2/IGF1/MST1/ELOVL5/INSIG1/GPLD1/LDLR",8
