"","an1","an2","an3","an4","an5","an6","an7","an8","an9","an10","an11","an12","an13","an14","an15","an16","an17","an18","an19"
"Colon_9",0.307250261892834,-0.112484140650693,-0.120299706380972,-0.15339589127647,0.107264370695143,0.857166051884114,-0.0855225618206648,-0.133359087961899,0.151786059338459,0.123253186553628,0.620348034412679,0.210531060652544,0.0156077114805201,0.147842880737271,0.135605456702593,-0.133359087961899,0.603167007708843,0.657584199170818,0.0339900661780925
"Duodenum_0",0.0878422122112795,-0.0727097260311642,-0.0355590102365875,-0.0362779607030702,-0.0762668178606272,-0.10857905390787,0.0901603811778668,0.0346510770757937,-0.0825480161601475,-0.00299666509091025,0.227794431293881,0.209930844193477,-0.384791838167569,-0.0167956513451117,-0.148694101632658,0.0346510770757937,0.201281657689411,0.197366323711758,-0.0656956121915971
"Duodenum_1",-0.0389585951375416,-0.107945598723082,-0.0416394117302104,-0.0526211639954335,-0.0809631867946916,-0.208749574445884,0.00747660829443653,0.0123697517071378,-0.0727962523730701,-0.0817923078458417,0.0309835767950089,0.15119573854068,-0.166961927111421,-0.0100486437173787,-0.0580366667992972,0.0123697517071378,-0.0146873131384035,-0.00310682049414122,-0.0479282489925652
"Duodenum_10",0.089950725086992,0.0484224268732127,-0.0473961277776205,0.0505518096943703,0.0292445653958498,-0.14934774291792,0.0154690936183517,0.0139549815688251,0.0869829200477123,0.0912017397366502,0.0716945729274397,1.0486507423102,0.360541069307497,-0.0313604266359998,-0.0838341146934818,0.0139549815688251,0.229264785694638,0.21470424027565,0.00484844657005879
"Duodenum_11",0.151002418927123,-0.077896028168712,-0.00679795169623383,-0.0625962672542549,0.0892903887135715,0.0269415867240593,0.12980745571193,0.0402174112461606,-0.10929010497671,-0.00381087443852994,0.150887476872204,-0.0649576348464594,-0.335234411318179,0.0768515963530969,-0.0742693711911473,0.0402174112461606,0.0838634255435982,0.112994498572327,-0.0594184589950832
"Duodenum_12",0.0893480532285297,0.071191773900164,-0.0537719564063127,-0.174743934454391,-0.0536451422120394,0.634237443920637,-0.0755320514642261,-0.176659576086794,0.506505179932846,-0.01950684052772,0.240815852895595,-0.00467091937894648,-0.247006900750114,0.129138446987459,-0.184720558271225,-0.176659576086794,0.22554350864841,0.220005737280741,0.0824790802261122
"Duodenum_13",0.280122470130055,-0.0254272220827477,-0.174063850884152,-0.0466980120956822,0.21512993864585,0.356462386535558,-0.156218590399891,-0.239044721693869,0.266266824463138,0.0852152649976129,0.728109962253682,0.173290456526435,-0.252321716547602,-0.159728067630944,0.0513849033300737,-0.239044721693869,0.652995053042538,0.7086006829833,0.0648127023049605
"Duodenum_14",0.142637168611373,0.476653379330685,1.15776978697497,0.0239041183072216,0.362705724126926,-0.189976574862633,0.00561759740213037,-0.0815505067581458,-0.171831809970699,0.396856788913797,0.150982859142642,-0.00837025609971996,0.546345691869615,-0.0772375759650591,-0.00720900409581796,-0.0815505067581458,0.125327998414823,0.106786332853411,0.14471149461655
"Duodenum_15",-0.0389707320460874,-0.134251120535614,-0.121276137780564,-0.0670665447274364,0.00440152954311314,-0.209911714752588,-0.119393827319981,-0.014267090694834,0.105127340178573,-0.0830173333259722,0.18660529186071,0.15068772434764,0.31121041850304,-0.0619694330425878,-0.080260545319399,-0.014267090694834,0.0439333434207092,0.0404300484291708,-0.000489956711850357
"Duodenum_16",0.433490113638675,0.872166584332128,2.31643352249575,0.199305862664274,0.415953133810509,-0.102236090666915,-0.00939528736332194,-0.133284702082122,-0.138344896844818,0.651374569986344,0.465211172721547,0.184607436769933,1.05902757727105,-0.084343000393261,0.426289482693215,-0.133284702082122,0.439719978021916,0.460751745636938,0.165057807455962
"Duodenum_17",0.114431934401999,-0.100874347546852,-0.067770116143467,-0.128766293535476,0.101424766775511,0.561977261569623,-0.0820585101091032,-0.162435395458652,0.152693721053046,-0.041064406995349,0.302620180991275,-0.0668171002959318,-0.287400559266051,-0.0232767418702355,-0.113959703288011,-0.162435395458652,0.253611759591694,0.254565677891214,0.00731695745405107
"Duodenum_18",0.0925204493418804,-0.144048514882285,-0.162015200844502,0.257982183838519,-0.0710838463332416,0.234758501790197,-0.0102276421819744,-0.0408633399296991,0.156190635143484,0.0150204716482627,0.404197770318021,0.511848638312945,-0.248820750271546,-0.255172833706322,-0.0686951723677548,-0.0408633399296991,0.457114087876268,0.446070835568125,-0.000626769970497343
"Duodenum_19",-0.0485950189519267,-0.220738647886369,-0.133762808762199,-0.121955144224906,-0.170513413136729,-0.311504200769895,-0.029710147750365,-0.0689358189076131,-0.104577065675212,-0.179502900305166,-0.294879216138535,-0.486333173734765,-0.377352878626502,2.20696148715923,-0.187671323897703,-0.0689358189076131,-0.426788707100384,-0.398929726962682,-0.0522092483826095
"Duodenum_2",-0.0698998901444289,-0.145267517637259,-0.0624945472654595,-0.0827440199204279,-0.100855478563804,-0.208329820813839,-0.0923910969204652,0.000366133766176515,-0.00663423432942705,-0.127902709123467,-0.0266713963225353,0.0860141915691222,-0.0859908531489899,-0.0341730642177203,-0.129182411084706,0.000366133766176508,-0.0434103788725858,-0.0487268115924722,-0.0186848550515486
"Duodenum_20",0.345613003718179,0.537105749783474,1.08009686359908,0.112117755313861,0.372360662969664,-0.24620966106891,-0.0523472945584288,-0.06576898027447,-0.184317919494706,0.346550892618888,0.240784663482101,0.0710056576624776,0.671712541207384,-0.0803882313033006,0.149759402716813,-0.06576898027447,0.231234020446325,0.206359454605925,0.0163269029650546
"Duodenum_21",0.369966717421148,0.722621754494836,2.04833046922907,0.121621120768153,0.139061818681267,-0.186188515648678,-0.0392850359963805,-0.0443321653051579,-0.102273696542452,0.272996390526449,0.38825502653801,0.336628227901485,0.258490195172415,-0.0734514313715304,0.160957337500722,-0.0443321653051579,0.425724936591251,0.436492796622738,0.0283469139363032
"Duodenum_22",-0.115280816473523,-0.118724504368226,-0.0682264124558462,-0.13009969890518,0.0384332457664586,-0.103883903966603,0.0376872459664434,-0.191528258577618,-0.255642228987693,-0.197798820163184,-0.323508915784086,-0.450412545483416,-0.459139650964863,0.0341434526607225,-0.262216347973462,-0.191528258577618,-0.316623654650025,-0.317933983270562,-0.0662485319445127
"Duodenum_3",0.433208748398703,0.0710073674421863,-0.112859125809343,-0.109115596253279,0.238497517126463,0.410323530755088,-0.155964680111695,-0.236227739939498,0.31143406790241,0.080131530829325,0.657565901157151,0.186608548676923,-0.189315295182927,0.118633818523986,0.093396412465683,-0.236227739939498,0.567277450589949,0.628852649963602,0.0982212274969202
"Duodenum_4",-0.0310014015498371,-0.12565998141558,-0.0416166194772917,-0.0704809475567223,-0.101896322510193,-0.220582903827229,-0.044154410671033,-0.0168704563934622,0.0507436556739578,-0.106477407971773,0.0344796419349271,0.211250115897199,-0.242655581703015,-0.0394292284833313,-0.0355288288266585,-0.0168704563934622,-0.012530559155153,-0.000797913215145584,-0.0230912253721773
"Duodenum_5",0.287686400800363,0.172697904780064,0.0648879126494097,0.0718838423710192,0.0996809861158116,0.0105969681967627,0.0703631495596121,0.0479686755631951,-0.120663233844703,0.105216892085463,0.147638926470469,0.308877761745764,0.391777513923453,0.0569306587551451,-0.068303825891925,0.0479686755631951,0.31430774204908,0.27082383579721,0.0576166868516909
"Duodenum_6",-0.0639046485467107,-0.00653576441951257,-0.0601248622320406,0.0649838524026564,-0.0655332114376883,-0.0968293726212206,-0.0166676112479398,0.0147658433696102,-0.0895107151101993,-0.068643068474849,0.0199529530818522,0.0772267044081433,-0.0531591721719492,-0.0520390839380132,-0.165029924953684,0.0147658433696101,0.0323749110809425,0.0202795163712936,-0.0821457712693077
"Duodenum_7",0.310171319141483,0.0666415221212497,-0.0574292571429403,0.232513855270388,0.0733494289080824,0.0180080598885022,-0.0704914769031491,-0.0200531145391348,0.0693062106356516,0.203678143351589,0.436318820049035,0.0686973042694331,0.00155571206315476,-0.0674081738224491,0.299788744029133,-0.0200531145391348,0.464648248930772,0.442853586825099,0.0771730441772967
"Duodenum_8",-0.123640224480003,-0.015886331827361,0.0221541590719243,-0.000429139525603145,0.175722296558732,-0.0922757504417783,0.0874667629178862,0.0447936590162818,-0.149837422255395,-0.0349040645316435,-0.25856813641682,-0.312684023664245,-0.335799099147941,-0.0674518340960008,-0.21617777750002,0.0447936590162818,-0.242031843128301,-0.276810541634344,-0.0837255686936889
"Duodenum_9",-0.0072885403065543,-0.0905702258418705,-0.0243374785700908,-0.0425946367469641,-0.0836639963964144,-0.117831449285859,0.0994046002193076,0.0550574200086652,-0.0788879295293024,-0.0761905556582323,-0.010965480709278,-0.0821825141043137,-0.35872363972855,-0.0157851768604679,-0.166457335315106,0.0550574200086652,-0.0554256071529701,-0.056719345517908,-0.0631426642991257
"Ileum_0",-0.0810508045508369,-0.131644253922253,-0.0355459286083456,-0.09596623821911,-0.150636496217421,-0.199698565187629,-0.108746118567825,-0.0234065660118353,-0.0260506433200844,-0.159766872371358,-0.0622019399980247,0.0613346129836785,-0.256937311340328,-0.0516748840945293,-0.0472538428054642,-0.0234065660118353,-0.0728482764002504,-0.0804209837808758,-0.0141039666677919
"Ileum_1",-0.0794464396016801,-0.134073245877205,-0.0575283778435246,-0.0785643148328608,-0.0976713602813404,-0.191843247566558,-0.10900126584694,-0.00237784243973041,-0.0213097322663354,-0.132681328400615,-0.0558741240747896,0.0769206090334684,-0.0323049381292533,-0.0421160892356059,-0.110413846638226,-0.00237784243973042,-0.0608564883483569,-0.0723499668140948,-0.00763134931275942
