"","gen1","gen2","gen3","gen4","gen5","gen6","gen7","gen8","gen9","gen10","gen11","gen12","gen13","gen14","gen15","gen16"
"Ileum_4",0.395810287714775,-0.0338117390085391,1.14333190131363,-0.023827509084855,0.0686588277809021,0.1118505924841,0.126695863045537,0.223905797936909,0.296963822578966,0.395743612996551,-0.00364999462324813,-0.000699005269961945,0.762485565460143,0.346246425668546,0.330916196076385,0.196273269183992
"Ileum_5",0.0685303709830929,0.234552333935342,-0.0592726673658386,-0.278644774813085,-0.15756001448099,0.0312582111877044,-0.0878292066166054,0.064972246079654,0.516755491155808,-0.207232952924137,0.0785087513525831,0.138072628675766,0.00423951202608972,0.314779448673896,0.0286879576476932,-0.0194323748041117
"Ileum_6",-0.175304015091214,-0.00313990988116866,-0.00638993921279792,0.0629124284085517,-0.159209715403782,-0.135992453826022,-0.0153603716291221,-0.192765181258649,-0.123977253164888,-0.159914054917283,-0.0568975549985723,0.024873852988071,-0.0243878914567359,-0.285409760233762,-0.145488176908143,0.00538019656857394
"Ileum_7",0.01586647264382,0.0697296308245139,0.00425318532425395,-0.206376240678739,-0.0489574667141517,0.0734881938939579,-0.0350182547143812,-0.0290503029650924,0.370277899254813,-0.0915870415624509,-0.00034062536682739,-0.016296326302435,0.0117474615865234,0.555870714997523,0.0306072681133106,-0.0408947882877862
"Ileum_8",-0.12919592391532,-0.0139688594111261,-0.0364339116424107,-0.260782281510622,-0.0878827292208027,-0.0548243534027959,-0.140171211350068,-0.101810772457301,0.0637223617713631,-0.0407015040220691,-0.0311538884382776,0.188471618387834,0.0869345695700273,-0.148653637247105,-0.102533264238039,-0.0863345116064387
"Ileum_9",0.143447413386353,0.0846513053776066,-0.00717624552029159,-0.0918593508846433,-0.154145544368828,0.217482138096036,0.056565986619537,0.222943675970578,0.207305061452551,-0.0257344030559515,0.0637075009859252,0.00401660146028201,0.14381079664827,1.23301189993243,0.138869808320985,0.0433142410705919
"Omasum_0",-0.107580784397167,-0.0592930148703315,-0.0323626373040412,-0.00345189823883099,-0.149684945797257,-0.0612282648660464,0.178183924804708,-0.0816279055183935,0.0941613447311155,-0.0182422520459764,-0.0319189385339034,0.0385840405689497,-0.0446146697938475,-0.338956102510375,-0.0475572664820187,0.156224250836822
"Omasum_1",-0.101706770729842,0.00236138795381003,-0.0189455708011361,0.0376696437341194,-0.118484633071031,-0.0672313346841366,0.0974915512681994,-0.0778944658501207,-0.246030240341585,-0.0723062779366865,0.031334257506185,-0.0468776992288999,-0.0289933586121945,-0.477633018392055,-0.0188191559560505,-0.0517038971937648
"Omasum_10",-0.0877036215386532,0.166777190357841,-0.0128274783854778,0.00412779891973112,-0.0521696693058693,-0.0869492524226207,0.108574616759972,-0.130038638602363,0.00504267912981966,-0.154289355713395,-0.0257736511598366,0.098006233757057,-0.0313623461428385,-0.197141780883315,-0.0882270534920428,-0.00924835683547406
"Omasum_11",-0.09200872676352,-0.00251754694283231,-0.0228585463081676,0.0155450315479348,-0.161360165767157,-0.0732085515565772,0.046112076636154,-0.0539527957091199,-0.295952621757164,-0.0985235826529091,0.00976379654168944,-0.0259590197849627,-0.0403736963310676,-0.407433649000355,0.0313683316225623,0.0159304560701212
"Omasum_12",0.294146376770275,0.0177446879146123,-0.0162172561863285,-0.0106608848164944,0.000713690591017164,0.0947716000439349,0.221692808743885,0.384053116375355,0.363484623921058,0.192621984741731,0.0773643597811386,-0.0697689990360784,0.267336885838835,0.714245993561253,0.192170846671039,0.13761389346158
"Omasum_13",-0.0593919649774389,-0.0475819260173829,0.0240970375234525,-0.226585993956176,-0.0185711893544991,-0.035883330516537,-0.0114579225272163,-0.0674689595121512,0.286010939159593,-0.108821257091128,-0.00876237822274968,-0.111235881812921,-0.0531755801602153,-0.00549795573887595,0.00101789347217846,-0.0726129117292515
"Omasum_14",0.0228118634771691,0.0576812238212794,-0.014654659556808,-0.0401517509601316,0.0178311068761156,-0.102166774005017,0.103588431980366,-0.0508334210629438,0.849267689752621,-0.109965442555958,0.102494590573443,0.0146948320886922,-0.0423801798968857,-0.123872384386043,-0.00555412329798386,0.0222529834537819
"Omasum_15",0.0258525301258004,-0.0623804177240389,0.0155240673848536,-0.261893351112662,-0.0253886410248702,0.0219887924580966,0.032395419835401,0.015105704938968,-0.1733646162062,-0.10068310002316,-0.00916444298495693,-0.169685587639535,0.402133579116693,0.208353446398967,0.0485437477774983,-0.011383873072444
"Omasum_16",-0.0251762097925585,0.140249133359504,-0.0349836407038589,0.0274273769569882,-0.112100405884485,-0.0627122171556976,-0.0453866492770583,-0.00984394543171455,0.16812704193051,-0.205256001254162,0.225321819208485,-0.00282303715694942,-0.120606807714477,-0.157445026329654,-0.0970906729205811,-0.092487966815141
"Omasum_2",-0.0109942526192086,0.0768964777081859,0.0114392663975277,0.0731908098904451,-0.0469984093149036,-0.0271533594449729,-0.0200408082849631,-0.028046887713335,0.171423521950009,-0.12028034356595,0.097798766468947,-0.0400976507475907,-0.0430005144377931,-0.139512210383439,-0.0289502717651098,-0.0568883981773865
"Omasum_3",-0.0235975226068144,0.224720709819431,-0.00475718550223218,-0.217767553551261,0.0982901124006469,-0.102333188888071,0.021129384598154,-0.143339936375607,0.965405835173134,-0.177709191678768,0.0150271165321926,0.162608910447472,-0.0924710919084274,-0.137740624955814,-0.0349146633923233,-0.0288302028686074
"Omasum_4",-0.0218946107267385,-0.061567743206803,0.00119191589879462,-0.122219361833906,-0.00162666284839445,-0.0992731542186154,0.00663940079300775,-0.0185710269900956,-0.240237768554016,-0.0879072510689577,-0.0171469055069804,-0.0165302671459442,-0.110831938592916,-0.274584847253289,0.00680132593389916,0.0347710977044023
"Omasum_5",-0.0552479699216819,0.485750690334593,-0.0464592573824613,-0.256890105602567,0.208896556474709,-0.153948249796509,-0.0305884040274437,-0.198226487382393,1.31489292118472,-0.157443812802784,0.0200731169731008,0.215771493793461,-0.128696018907708,-0.151804282727435,-0.0994140630561507,-0.0798426098669421
"Omasum_6",-0.052029829729187,0.634501699696268,-0.0385445575469661,-0.239249428748268,0.427878543740454,-0.114275567782052,0.0307238192684727,-0.195047700889731,2.15974719343342,-0.180690004654535,0.00067396594998964,0.271119519364476,-0.0822943182056231,-0.137693426770512,-0.0411977385105601,-0.0707912422949554
"Omasum_7",-0.108233041744742,0.00771644848693103,0.0460972249731318,-0.122720371641915,0.0291732637266896,-0.10224645871261,0.0553878534725091,-0.00403444528165353,-0.0596772582975142,-0.0829669229665899,-0.00731768752456091,-0.0103862228677582,-0.110584381162296,-0.155441746613799,-0.0605060241037062,-0.0144874564038183
"Omasum_8",-0.101076690964081,-0.0293930016583568,-0.00956697871787998,-0.0609279143962421,-0.0845355965895216,-0.0520933043343686,0.133113080560183,-0.101230855757515,0.0379806810392484,-0.0652284896422509,0.011755877014078,-0.0234685453998369,-0.0613496047241108,-0.295021474588141,-0.0220930788041645,0.0337621566751716
"Omasum_9",-0.0697656731739763,0.0231394801872396,0.00252357948493678,0.0535461191807493,-0.0439714454833405,-0.0173805321314635,-0.044379544663457,-0.0365813553939318,-0.0852617954613559,-0.124791521247964,-0.0171945100561156,-0.0996875902804446,-0.0594146383822601,-0.0780799215890681,-0.0505208629893535,-0.0691500070787451
"Rectum_0",-0.113171353752119,-0.0621660779852046,-0.0195750205265638,0.428031652458918,-0.130699969721039,0.119826723427768,-0.0724585787806007,-0.0464913888298391,-0.0173181565108919,-0.0516008744643497,0.0205478561891034,-0.05972145432386,-0.0133314492115582,-0.186072420415997,-0.0724259284355626,-0.0443970810339449
"Rectum_1",-0.09874034488227,-0.0626074416847734,-0.0211886836736651,0.507789143777925,-0.130408474680002,0.111937717578149,-0.0724570911798962,-0.040920323117865,-0.0244729657320157,-0.0701797599295255,0.0406669859335678,-0.120209306913677,-0.0479614658056242,-0.206893195487588,-0.0694884506488643,-0.0511796284007331
"Rectum_10",0.0307793535980753,0.296876083839469,0.112303441380023,-0.00327834824057593,-0.145081458670764,-0.0414678168008601,-0.0531752328909741,0.0846081692461819,0.661862609490116,-0.191385254542576,0.0912717266346447,0.105923669232874,-0.0966909778837842,-0.174827867487582,-0.0698784888653902,-0.04914196685951
"Rectum_11",-0.0965111311155068,-0.0448575194767938,0.0207283854278424,0.0809282574875319,-0.0336129178096367,0.019546133465794,-0.0969950340849688,-0.0440309596978721,-0.0789099595568252,-0.107959765526043,-0.0459364054272656,-0.120500523659577,0.0292733466625406,-0.0371513411179868,-0.0324846967197237,-0.0668863455118909
"Rectum_12",1.20967108030354,0.5386382376377,0.0332649589786996,-0.175410213798235,1.0076073084969,0.217801266827805,0.367415561088359,0.355725110445457,2.17431280052298,0.9356413129615,0.144142426280714,-0.179861903351366,0.259963138834392,0.183112614611429,0.727732811149289,0.344768324779651
"Rectum_13",0.227685773737236,0.266750439181791,0.00831667881590425,-0.133039390606249,0.0563942289645826,-0.00592801659245008,0.10239191266863,0.312562416347352,0.651120411743419,-0.125060124954278,0.0580228359787978,0.0796945524478051,-0.000988468814748246,-0.106342639233045,0.174558437222181,0.0210389958473639
"Rectum_14",-0.0331161064796232,-0.0035786386011741,0.0172219665275417,-0.149879074141088,-0.020777702861871,0.0199873111279533,-0.0687825058729643,-0.0948553915143862,0.156380214076118,0.000104790498169669,-0.0390656673822362,-0.108018860731504,-0.0160117508048786,0.46178673024282,-0.020041131868837,-0.0578401642379749
"Rectum_15",0.457184913316648,0.452493406353735,-0.0342508552354906,-0.116331574652629,0.201529779372247,-0.00266733207684774,0.274491679991742,0.325324198452467,0.767454255340299,0.267562497880456,0.112044943473669,0.17870725568627,0.14066139564642,0.023067262058995,0.257916002392876,0.107913133179503
