"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.36503973581187e-48,0.266004519078496,0.929,0.868,5.82863755922958e-44,"1","HTRA1"
4.64421445979358e-48,0.292816055841896,0.886,0.816,6.20141956816236e-44,"1","NCL"
6.24539936355858e-48,0.284687481610279,0.609,0.393,8.33948177015978e-44,"1","CA1"
4.7181940594178e-47,0.281353083047379,0.745,0.564,6.30020452754059e-43,"1","RTRAF"
3.43408498063305e-46,0.275254992863146,0.77,0.605,4.58553367463931e-42,"1","RARRES2"
1.85120314599886e-45,0.252312788700315,0.978,0.955,2.47191156085228e-41,"1","HNRNPA1"
7.00137911340758e-45,0.275530689609924,0.784,0.621,9.34894153013314e-41,"1","CD44"
7.85004222332822e-45,0.341777493042927,0.599,0.4,1.04821613808102e-40,"1","PAM"
2.5469809986964e-44,0.293582665183401,0.502,0.307,3.4009837275593e-40,"1","CKS2"
2.56699480645308e-44,0.277034436362498,0.701,0.51,3.4277081650568e-40,"1","ENSBTAG00000016347"
2.76222540481535e-44,0.250842173553745,0.514,0.314,3.68839958304994e-40,"1","BDH1"
3.05897101064068e-43,0.277145438911415,0.566,0.359,4.08464399050849e-39,"1","EGFL7"
7.00244807252909e-43,0.288627266555975,0.781,0.649,9.3503689112481e-39,"1","LMO4"
1.50928293637742e-41,0.264487092446024,0.705,0.515,2.01534550494477e-37,"1","CAT"
1.43866825666062e-39,0.257235430622376,0.879,0.817,1.92105372311893e-35,"1","DHRS7"
1.68119333950833e-39,0.261435904775372,0.742,0.577,2.24489746624548e-35,"1","EPHX1"
1.95606170826268e-39,0.253213273042254,0.812,0.673,2.61192919904316e-35,"1","LDHB"
3.50812050429386e-38,0.264571532491749,0.797,0.682,4.68439330938359e-34,"1","HSD17B2"
3.99224362245809e-37,0.250745428539154,0.647,0.465,5.33084290906829e-33,"1","PSMB3"
8.76148109630135e-37,0.262411271223398,0.786,0.668,1.16992057078912e-32,"1","PSMG4"
1.01990516303462e-36,0.343467017585205,0.736,0.612,1.36187936420013e-32,"1","ENSBTAG00000023026"
1.77362909690768e-33,0.256047697504661,0.792,0.68,2.36832693310082e-29,"1","HMGB1"
5.25918712045657e-33,0.327646618325343,0.933,0.898,7.02259256194565e-29,"1","SPARC"
5.66417877958388e-31,0.335583754420292,0.687,0.573,7.56337792437836e-27,"1","VWF"
1.04295678531741e-29,0.522971220096335,0.872,0.867,1.39266019543433e-25,"1","COL3A1"
1.14701455333507e-27,0.361094900785362,0.73,0.636,1.53160853306832e-23,"1","MMP2"
1.11885274663653e-25,0.368203531323999,0.812,0.782,1.49400407258376e-21,"1","FBLN1"
4.57578518013514e-22,0.37925901832406,0.781,0.738,6.11004595103445e-18,"1","COL1A1"
5.42759041905193e-20,0.388550624848439,0.805,0.79,7.24746148656004e-16,"1","COL1A2"
3.02934026279201e-18,0.299286910959865,0.717,0.658,4.04507805290617e-14,"1","DCN"
